current,left,current_abb,left_abb,count,year
District of Columbia,Florida,DC,FL,7184,Total 2016-2019
District of Columbia,Foreign Country,DC,OR,29697,Total 2016-2019
District of Columbia,Foreign Country4,DC,OR,9907,Total 2016-2019
District of Columbia,Georgia,DC,GA,4449,Total 2016-2019
District of Columbia,Hawaii,DC,HI,256,Total 2016-2019
District of Columbia,Idaho,DC,ID,189,Total 2016-2019
District of Columbia,Illinois,DC,IL,7571,Total 2016-2019
District of Columbia,Indiana,DC,IN,2240,Total 2016-2019
District of Columbia,Iowa,DC,IA,456,Total 2016-2019
District of Columbia,Kansas,DC,KS,41,Total 2016-2019
District of Columbia,Kentucky,DC,KY,759,Total 2016-2019
District of Columbia,Louisiana,DC,LA,1110,Total 2016-2019
District of Columbia,Maine,DC,ME,749,Total 2016-2019
District of Columbia,Maryland,DC,MD,51847,Total 2016-2019
District of Columbia,Massachusetts,DC,MA,8690,Total 2016-2019
District of Columbia,Michigan,DC,MI,2974,Total 2016-2019
District of Columbia,Minnesota,DC,MN,1399,Total 2016-2019
District of Columbia,Mississippi,DC,MS,792,Total 2016-2019
District of Columbia,Missouri,DC,MO,2209,Total 2016-2019
District of Columbia,Montana,DC,MT,113,Total 2016-2019
District of Columbia,Nebraska,DC,NE,239,Total 2016-2019
District of Columbia,Nevada,DC,NV,520,Total 2016-2019
District of Columbia,New Hampshire,DC,NH,435,Total 2016-2019
District of Columbia,New Jersey,DC,NJ,9224,Total 2016-2019
District of Columbia,New Mexico,DC,NM,673,Total 2016-2019
District of Columbia,New York,DC,NY,18956,Total 2016-2019
District of Columbia,North Carolina,DC,NC,5741,Total 2016-2019
District of Columbia,North Dakota,DC,ND,88,Total 2016-2019
District of Columbia,Ohio,DC,OH,4032,Total 2016-2019
District of Columbia,Oklahoma,DC,OK,307,Total 2016-2019
District of Columbia,Oregon,DC,OR,414,Total 2016-2019
District of Columbia,Pennsylvania,DC,PA,7627,Total 2016-2019
District of Columbia,Puerto Rico,DC,NA,1103,Total 2016-2019
District of Columbia,Rhode Island,DC,RI,789,Total 2016-2019
District of Columbia,South Carolina,DC,SC,1593,Total 2016-2019
District of Columbia,South Dakota,DC,SD,250,Total 2016-2019
District of Columbia,Tennessee,DC,TN,3190,Total 2016-2019
District of Columbia,Texas,DC,TX,8180,Total 2016-2019
District of Columbia,Utah,DC,UT,848,Total 2016-2019
District of Columbia,Vermont,DC,VT,714,Total 2016-2019
District of Columbia,Virginia,DC,VA,33957,Total 2016-2019
District of Columbia,Washington,DC,WA,1863,Total 2016-2019
District of Columbia,West Virginia,DC,WV,914,Total 2016-2019
District of Columbia,Wisconsin,DC,WI,1065,Total 2016-2019
District of Columbia,Wyoming,DC,WY,68,Total 2016-2019
Florida,Alabama,FL,AL,48765,Total 2016-2019
